change_id	current_order	rule_name	display_name	card_file	has_chronology_card	has_foma_implementation_found	foma_file	foma_rule_name_or_definition	implementation_notes	has_literature_notes_found	literature_note_files	literature_status	has_direct_quotations	quotation_source_files	chronology_evidence_status	safe_computational_window	earlier_boundary_summary	later_boundary_summary	core_graph_edges	contextual_graph_edges	excluded_relation_types	expanded_pwgmc_supplementary_note	book_section_readiness	recommended_book_treatment	missing_material	drafting_priority	notes
SC030	30	OEAuFronting	OE Au Fronting	Germanic/docs/sound_changes/order_tests/chronology_cards/SC030-oe-au-fronting.md	yes	yes	Germanic/fsts/germanic.txt	define OEAuFronting [	Direct define found at line 1815 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/028-030-glide-and-fronting-entry.dossier.md	partial	no	none	strong_local_or_reciprocal	30-31	SC029 OE Awj Glide Formation | historical_sound_change | order 29 | failures 2 | hay; strew	SC032 OE Diphthong Leveling | historical_sound_change | order 32 | failures 18 | believe; bow; bread; dream; flea	SC029<SC030 [reciprocal]; SC030<SC032 [reciprocal]	none	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Later boundary reciprocates SC032 earlier, and the 18-row later failure set should be narrated as no-output (`+?`) derivations rather than as surface forms.
SC031	31	OEWWSimplification	OE WW Simplification	Germanic/docs/sound_changes/order_tests/chronology_cards/SC031-oe-ww-simplification.md	yes	yes	Germanic/fsts/germanic.txt	define OEWWSimplification [	Direct define found at line 1833 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/031-034-west-saxon-diphthong-chain.dossier.md	substantial	no	none	strong_local_or_reciprocal	14-33 (earlier side non-historical)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 2 | four; hay	SC034 OE Aw Long Diphthong | historical_sound_change | order 34 | failures 2 | dew; hew	SC031<SC034 [reciprocal]	none	runner_limited; supplementary_expanded_profile	yes	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	chronology card includes supplementary expanded-PWGmc note; Earlier computational break crosses bundled PWGmcChanges and is non-historical; later boundary reciprocates SC034 earlier around dew and hew.
SC032	32	OEDiphthongLeveling	OE Diphthong Leveling	Germanic/docs/sound_changes/order_tests/chronology_cards/SC032-oe-diphthong-leveling.md	yes	yes	Germanic/fsts/germanic.txt	define OEDiphthongLeveling [	Direct define found at line 1820 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/031-034-west-saxon-diphthong-chain.dossier.md	substantial	no	none	strong_local_or_reciprocal	31-39	SC030 OE Au Fronting | historical_sound_change | order 30 | failures 18 | believe; bow; bread; dream; flea	SC040 OE Med Unstressed U Lowering | historical_sound_change | order 40 | failures 1 | head	SC030<SC032 [reciprocal]; SC032<SC040	none	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Earlier boundary reciprocates SC030 later, and the 18-row earlier failure set should be narrated as no-output (`+?`) derivations rather than as surface forms.
SC033	33	OEEwLongDiphthong	OE Ew Long Diphthong	Germanic/docs/sound_changes/order_tests/chronology_cards/SC033-oe-ew-long-diphthong.md	yes	yes	Germanic/fsts/germanic.txt	define OEEwLongDiphthong [	Direct define found at line 1845 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/031-034-west-saxon-diphthong-chain.dossier.md	substantial	no	none	broad_far_constraint	14-43 (earlier side non-historical)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 1 | four	SC044 OE Breaking | historical_sound_change | order 44 | failures 3 | chew; four; knee	none	SC033<SC044 [broad_far]	runner_limited; supplementary_expanded_profile	yes	group_with_related_change	grouped cluster discussion	direct quotations; human chronology framing	medium	chronology card includes supplementary expanded-PWGmc note; Earlier computational break crosses bundled PWGmcChanges and is non-historical; later boundary is historical but broad/far across SC044.
SC034	34	OEAwLongDiphthong	OE Aw Long Diphthong	Germanic/docs/sound_changes/order_tests/chronology_cards/SC034-oe-aw-long-diphthong.md	yes	yes	Germanic/fsts/germanic.txt	define OEAwLongDiphthong [	Direct define found at line 1858 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/031-034-west-saxon-diphthong-chain.dossier.md	substantial	no	none	strong_local_or_reciprocal	32-42	SC031 OE WW Simplification | historical_sound_change | order 31 | failures 2 | dew; hew	SC043 Anglo Frisian Brightening | historical_sound_change | order 43 | failures 6 | dew; hew; show; show (3sg); show (iptv.2sg)	SC031<SC034 [reciprocal]; SC034<SC043; SC034<SC047	none	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Earlier boundary reciprocates SC031 later; later boundary is a broader six-row historical relation across SC043.
SC035	35	OEPrefixAReduction	OE Prefix A Reduction Early	Germanic/docs/sound_changes/order_tests/chronology_cards/SC035-oe-prefix-a-reduction-early.md	yes	yes	Germanic/fsts/germanic.txt	define OEPrefixAReduction [	Direct define found at line 2355 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/035-037-prefix-and-compound-adjustments.dossier.md	substantial	no	none	contextual_or_one_sided	13-42 (earlier side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC043 Anglo Frisian Brightening | historical_sound_change | order 43 | failures 1 | believe	none	SC035<SC043 [contextual]	runner_limited	no	group_with_related_change	grouped cluster discussion	direct quotations; human chronology framing	medium	No earlier historical break was found before bundled PWGmcChanges; later side is a one-sided historical boundary across SC043.
SC036	36	OEInterStressRaising	OE Inter Stress Raising	Germanic/docs/sound_changes/order_tests/chronology_cards/SC036-oe-inter-stress-raising.md	yes	yes	Germanic/fsts/germanic.txt	define OEInterStressRaising [	Direct define found at line 1757 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/035-037-prefix-and-compound-adjustments.dossier.md	substantial	no	none	mixed	20-39	SC019 NWGmc Final Long O Raising | historical_sound_change | order 19 | failures 1 | soul	SC040 OE Med Unstressed U Lowering | historical_sound_change | order 40 | failures 2 | soul; world	SC036<SC040	SC015<SC036 [broad_far]; SC019<SC036 [broad_far]	none	no	group_with_related_change	grouped cluster discussion	direct quotations; human chronology framing	medium	Earlier boundary is historically real but relatively far back across SC019; later side is a one-sided historical boundary across SC040.
SC037	37	OECompoundLinkingSyncope	OE Compound Linking Syncope	Germanic/docs/sound_changes/order_tests/chronology_cards/SC037-oe-compound-linking-syncope.md	yes	yes	Germanic/fsts/germanic.txt	define OECompoundLinkingSyncope [	Direct define found at line 2984 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/035-037-prefix-and-compound-adjustments.dossier.md	substantial	no	none	contextual_or_one_sided	13-37 (earlier side runner-bounded; later side non-historical)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC038 OE Strip Secondary Stress | technical_marker | order 38 | failures 1 | rainbow	none	SC037<SC049 [contextual]	runner_limited; technical_marker	no	group_with_related_change	grouped cluster discussion	direct quotations; human chronology framing	medium	Earlier side has no historical break before bundled PWGmcChanges; later computational break crosses technical-marker SC038 and is non-historical.
SC039	39	OEWICombinativeUUmlaut	OE WI Combinative U Umlaut	Germanic/docs/sound_changes/order_tests/chronology_cards/SC039-oe-wi-combinative-u-umlaut.md	yes	yes	Germanic/fsts/germanic.txt	define OEWICombinativeUUmlaut [	Direct define found at line 2681 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/039-041-medial-lowering-and-final-loss-bridge.dossier.md	partial	no	none	strong_local_or_reciprocal	13-39 (earlier side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC040 OE Med Unstressed U Lowering | historical_sound_change | order 40 | failures 1 | widow	SC039<SC040 [reciprocal]	none	runner_limited	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	No earlier historical break was found before bundled PWGmcChanges; later boundary reciprocates SC040 earlier around widow.
SC040	40	OEMedUnstressedULowering	OE Med Unstressed U Lowering	Germanic/docs/sound_changes/order_tests/chronology_cards/SC040-oe-med-unstressed-u-lowering.md	yes	yes	Germanic/fsts/germanic.txt	define OEMedUnstressedULowering [	Direct define found at line 2292 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/039-041-medial-lowering-and-final-loss-bridge.dossier.md	partial	no	none	mixed	40-71	SC039 OE WI Combinative U Umlaut | historical_sound_change | order 39 | failures 1 | widow	SC072 OE Unstressed Long Vowel Shortening | historical_sound_change | order 72 | failures 1 | youth	SC032<SC040; SC036<SC040; SC039<SC040 [reciprocal]	SC020<SC040 [broad_far]; SC040<SC072 [broad_far]	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations; human chronology framing	medium	Earlier boundary reciprocates SC039 later; later boundary is historically real but broad/far across SC072; the retired SC021<SC040 relation is archival only.
SC041	41	PWGmcFinalBareALoss	PWGmc Final Bare A Loss	Germanic/docs/sound_changes/order_tests/chronology_cards/SC041-pwgmc-final-bare-a-loss.md	yes	yes	Germanic/fsts/germanic.txt	define PWGmcFinalBareALoss [	Direct define found at line 1188 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/039-041-medial-lowering-and-final-loss-bridge.dossier.md	partial	no	none	mixed	21-45	SC020 PGmc Final Z Deletion | historical_sound_change | order 20 | failures 64 | beard; bosom; bottom; calf; coat	SC046 OE A Restoration | historical_sound_change | order 46 | failures 7 | craft; dale; day; hazel; mast	SC041<SC046; SC041<SC064	SC020<SC041 [broad_far]	none	no	group_with_related_change	grouped cluster discussion	direct quotations; human chronology framing	medium	Earlier boundary is far from current order and should be narrated as a broad computational limit.
SC042	42	PWGmcSurvivingBimoricOUnrounding	PWGmc Surviving Bimoric O Unrounding	Germanic/docs/sound_changes/order_tests/chronology_cards/SC042-pwgmc-surviving-bimoric-o-unrounding.md	yes	yes	Germanic/fsts/germanic.txt	define PWGmcSurvivingBimoricOUnrounding [	Direct define found at line 1211 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/042-048-post-brightening-region.review-dossier.md	partial	no	none	strong_local_or_reciprocal	21-42	SC020 PGmc Final Z Deletion | historical_sound_change | order 20 | failures 1 | rest	SC043 Anglo Frisian Brightening | historical_sound_change | order 43 | failures 1 | rest	SC020<SC042; SC042<SC043 [reciprocal]	none	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	-
SC043	43	AngloFrisianBrightening	Anglo Frisian Brightening	Germanic/docs/sound_changes/order_tests/chronology_cards/SC043-anglo-frisian-brightening.md	yes	yes	Germanic/fsts/germanic.txt	define AngloFrisianBrightening [	Direct define found at line 1891 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/043-anglo-frisian-brightening.dossier.md; Germanic/docs/sound_changes/sound_change_literature_matrix.tsv	substantial	yes	docs/references/campbell_old_english_grammar.txt; docs/references/hogg_vol1.txt; docs/references/ringe_taylor_linguistic_history_vol2.txt; docs/references/fulk_comparative_grammar_early_germanic.vision.txt	mixed	43-43	SC042 PWGmc Surviving Bimoric O Unrounding | historical_sound_change | order 42 | failures 1 | rest	SC044 OE Breaking | historical_sound_change | order 44 | failures 1 | slay	SC034<SC043; SC042<SC043 [reciprocal]; SC043<SC044 [reciprocal]; SC043<SC046	SC035<SC043 [contextual]	none	no	ready_for_first_draft	standalone mini-chapter	none identified	high	pilot change entry exists: Germanic/docs/sound_changes/change_entries/043-anglo-frisian-brightening.change.md; substantial literature dossier present
SC044	44	OEBreaking	OE Breaking	Germanic/docs/sound_changes/order_tests/chronology_cards/SC044-oe-breaking.md	yes	yes	Germanic/fsts/germanic.txt	define OEBreaking OEBreakingA	Direct define found at line 1744 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/042-048-post-brightening-region.review-dossier.md	partial	no	none	mixed	44-44	SC043 Anglo Frisian Brightening | historical_sound_change | order 43 | failures 1 | slay	SC045 OE Velar Fricative Palatalization | historical_sound_change | order 45 | failures 12 | fee; fight; flax; knight; laugh	SC043<SC044 [reciprocal]; SC044<SC045 [reciprocal]	SC033<SC044 [broad_far]; SC044<SC087 [broad_far]	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations; human chronology framing	medium	-
SC045	45	OEVelarFricativePalatalization	OE Velar Fricative Palatalization	Germanic/docs/sound_changes/order_tests/chronology_cards/SC045-oe-velar-fricative-palatalization.md	yes	yes	Germanic/fsts/germanic.txt	define OEVelarFricativePalatalization [	Direct define found at line 2830 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/042-048-post-brightening-region.review-dossier.md	partial	no	none	strong_local_or_reciprocal	45-59	SC044 OE Breaking | historical_sound_change | order 44 | failures 12 | fee; fight; flax; knight; laugh	SC060 OE Ws Palatal Umlaut | historical_sound_change | order 60 | failures 1 | six	SC044<SC045 [reciprocal]; SC045<SC060	none	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	-
SC046	46	OEARestoration	OE A Restoration	Germanic/docs/sound_changes/order_tests/chronology_cards/SC046-oe-a-restoration.md	yes	yes	Germanic/fsts/germanic.txt	define OEARestoration (	Direct define found at line 1968 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/042-048-post-brightening-region.review-dossier.md	partial	no	none	strong_local_or_reciprocal	44-47	SC043 Anglo Frisian Brightening | historical_sound_change | order 43 | failures 19 | bake; fare; flask; grave; haw	SC048 OE Secondary Nasalization | historical_sound_change | order 48 | failures 7 | bake; fare; grave; lade; wade	SC041<SC046; SC043<SC046; SC046<SC048; SC046<SC051	none	none	no	group_with_related_change	standalone mini-chapter	direct quotations	medium	-
SC047	47	OEHeavySyllableNasalApocope	OE Heavy Syllable Nasal Apocope	Germanic/docs/sound_changes/order_tests/chronology_cards/SC047-oe-heavy-syllable-nasal-apocope.md	yes	yes	Germanic/fsts/germanic.txt	define OEHeavySyllableNasalApocope [	Direct define found at line 2937 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/042-048-post-brightening-region.review-dossier.md	partial	no	none	mixed	35-47	SC034 OE Aw Long Diphthong | historical_sound_change | order 34 | failures 1 | straw	SC048 OE Secondary Nasalization | historical_sound_change | order 48 | failures 87 | bake; begin; believe; bind; bore	SC034<SC047	SC023<SC047 [broad_far]; SC047<SC048 [reciprocal|broad_far]	none	no	group_with_related_change	grouped cluster discussion	direct quotations; human chronology framing	medium	Later boundary carries the reciprocal 87-row broad -en failure set with SC048 earlier.
SC048	48	OESecondaryNasalization	OE Secondary Nasalization	Germanic/docs/sound_changes/order_tests/chronology_cards/SC048-oe-secondary-nasalization.md	yes	yes	Germanic/fsts/germanic.txt	define OESecondaryNasalization [	Direct define found at line 2400 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/042-048-post-brightening-region.review-dossier.md	partial	no	none	mixed	48-58	SC047 OE Heavy Syllable Nasal Apocope | historical_sound_change | order 47 | failures 87 | bake; begin; believe; bind; bore	SC059 OE Back Mutation | historical_sound_change | order 59 | failures 2 | steal; weave	SC046<SC048; SC048<SC059 [reciprocal]	SC047<SC048 [reciprocal|broad_far]	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations; human chronology framing	medium	Earlier boundary carries the reciprocal 87-row broad -en failure set with SC047 later.
SC049	49	PGmcBAllophony	PGmc B Allophony	Germanic/docs/sound_changes/order_tests/chronology_cards/SC049-pgmc-b-allophony.md	yes	yes	Germanic/fsts/germanic.txt	define PGmcBAllophony [	Direct define found at line 1224 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/049-050-onset-allophony-and-sievers-law-bridge.dossier.md	substantial	no	none	contextual_or_one_sided	38-86 (later side runner-bounded)	SC037 OE Compound Linking Syncope | historical_sound_change | order 37 | failures 1 | rainbow	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	SC037<SC049 [contextual]	no_break_runner_boundary	no	group_with_related_change	grouped cluster discussion	direct quotations; human chronology framing	medium	Earlier boundary is one-sided across SC037; later search reached SC087 with no real break and must not be narrated as a must-precede claim.
SC050	50	SieversLawSyncope	Sievers Law Syncope	Germanic/docs/sound_changes/order_tests/chronology_cards/SC050-sievers-law-syncope.md	yes	yes	Germanic/fsts/germanic.txt	define SieversLawSyncope [	Direct define found at line 2575 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/049-050-onset-allophony-and-sievers-law-bridge.dossier.md	substantial	no	none	strong_local_or_reciprocal	13-51 (earlier side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC052 OE Velar Palatalization | historical_sound_change | order 52 | failures 1 | stretch	SC050<SC052 [reciprocal]	none	runner_limited	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Earlier side is blocked by the runner entering bundled PWGmcChanges; later side is the historically interpretable constraint.
SC051	51	OESkPalatalization	OE Sk Palatalization	Germanic/docs/sound_changes/order_tests/chronology_cards/SC051-oe-sk-palatalization.md	yes	yes	Germanic/fsts/germanic.txt	define OESkPalatalization [	Direct define found at line 2751 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/051-oe-sk-palatalization.dossier.md	substantial	no	none	strong_local_or_reciprocal	47-55	SC046 OE A Restoration | historical_sound_change | order 46 | failures 2 | flask; wash	SC056 OE Ws Palatal Diphthongization | historical_sound_change | order 56 | failures 5 | shaft; shear; sheath; sheep; shield	SC046<SC051; SC051<SC056	none	none	no	ready_for_first_draft	standalone mini-chapter	direct quotations	medium	-
SC052	52	OEVelarPalatalization	OE Velar Palatalization	Germanic/docs/sound_changes/order_tests/chronology_cards/SC052-oe-velar-palatalization.md	yes	yes	Germanic/fsts/germanic.txt	define OEVelarPalatalization [	Direct define found at line 2789 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/052-velar-palatalization-hinge.dossier.md	substantial	no	none	mixed	51-54	SC050 Sievers Law Syncope | historical_sound_change | order 50 | failures 1 | stretch	SC055 OE I Umlaut | historical_sound_change | order 55 | failures 2 | cow; lung	SC050<SC052 [reciprocal]; SC052<SC055 [reciprocal]; SC052<SC070	SC052<SC057 [contextual]	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations; human chronology framing	medium	-
SC053	53	OEPostVelarWLoss	OE Post Velar W Loss	Germanic/docs/sound_changes/order_tests/chronology_cards/SC053-oe-post-velar-w-loss.md	yes	yes	Germanic/fsts/germanic.txt	define OEPostVelarWLoss [	Direct define found at line 3020 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/053-054-pre-umlaut-bridge-and-w-loss.dossier.md	substantial	no	none	negative_boundary_only	13-86 (earlier side blocked; later side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	none	runner_limited; no_break_runner_boundary	no	defer	boundary/underdetermination note	direct quotations; representative examples	defer	Both sides are negative computational results: earlier search is blocked by bundled PWGmcChanges and later search reaches SC087 with no real break.
SC054	54	OEWLossBeforeI	OE W Loss Before I	Germanic/docs/sound_changes/order_tests/chronology_cards/SC054-oe-w-loss-before-i.md	yes	yes	Germanic/fsts/germanic.txt	define OEWLossBeforeI [	Direct define found at line 2545 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/053-054-pre-umlaut-bridge-and-w-loss.dossier.md	substantial	no	none	strong_local_or_reciprocal	21-62	SC020 PGmc Final Z Deletion | historical_sound_change | order 20 | failures 1 | sea	SC063 OE High Vowel Apocope | historical_sound_change | order 63 | failures 1 | sea	SC020<SC054; SC054<SC063	none	none	no	ready_for_first_draft	standalone mini-chapter	direct quotations	medium	Both sides fail the same sea derivation, but the card is one-sided with respect to the current reciprocal network.
SC055	55	OEIUmlaut	OE I Umlaut	Germanic/docs/sound_changes/order_tests/chronology_cards/SC055-oe-i-umlaut.md	yes	yes	Germanic/fsts/germanic.txt	define OEIUmlaut OEIUmlautFronting	Direct define found at line 2549 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/055-056-umlaut-core.dossier.md	substantial	no	none	mixed	53-55	SC052 OE Velar Palatalization | historical_sound_change | order 52 | failures 2 | cow; lung	SC056 OE Ws Palatal Diphthongization | historical_sound_change | order 56 | failures 2 | gift; sheath	SC052<SC055 [reciprocal]; SC055<SC056 [reciprocal]; SC055<SC063; SC055<SC066	SC055<SC060 [contextual]; SC055<SC079 [broad_far]; SC055<SC081 [broad_far]	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations; human chronology framing	medium	-
SC056	56	OEWsPalatalDiphthongization	OE Ws Palatal Diphthongization	Germanic/docs/sound_changes/order_tests/chronology_cards/SC056-oe-ws-palatal-diphthongization.md	yes	yes	Germanic/fsts/germanic.txt	define OEWsPalatalDiphthongization [	Direct define found at line 2818 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/055-056-umlaut-core.dossier.md	substantial	no	none	mixed	56-86 (later side runner-bounded)	SC055 OE I Umlaut | historical_sound_change | order 55 | failures 2 | gift; sheath	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	SC051<SC056; SC055<SC056 [reciprocal]	SC024<SC056 [broad_far]	no_break_runner_boundary	no	group_with_related_change	paired with reciprocal neighbour	direct quotations; human chronology framing	medium	Later side found no real break before the runner boundary at SC087; do not narrate this as a positive must-precede constraint.
SC057	57	OEJClusterCoalescence	OE J Cluster Coalescence	Germanic/docs/sound_changes/order_tests/chronology_cards/SC057-oe-j-cluster-coalescence.md	yes	yes	Germanic/fsts/germanic.txt	define OEJClusterCoalescence (	Direct define found at line 1100 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/057-oe-j-cluster-coalescence.dossier.md	partial	yes	docs/references/campbell_old_english_grammar.txt; docs/references/hogg_vol1.txt; docs/references/ringe_taylor_linguistic_history_vol2.txt; docs/references/fulk_comparative_grammar_early_germanic.vision.txt	contextual_or_one_sided	53-86 (later side runner-bounded)	SC052 OE Velar Palatalization | historical_sound_change | order 52 | failures 7 | bow; follow; hedge; seek; singe	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	SC052<SC057 [contextual]	no_break_runner_boundary	no	group_with_related_change	grouped cluster discussion	human chronology framing	medium	Earlier side is a one-sided historical boundary across SC052; later search reaches SC087 with no real break.
SC058	58	OENasalDissimilation	OE Nasal Dissimilation	Germanic/docs/sound_changes/order_tests/chronology_cards/SC058-oe-nasal-dissimilation.md	yes	yes	Germanic/fsts/germanic.txt	define OENasalDissimilation [	Direct define found at line 2652 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/058-oe-nasal-dissimilation-residual.dossier.md	partial	yes	docs/references/fulk_comparative_grammar_early_germanic.vision.txt; docs/references/ringe_taylor_linguistic_history_vol2.txt; docs/references/campbell_old_english_grammar.txt; docs/references/luick_historische_grammatik.txt; docs/references/hogg_vol1.txt	negative_boundary_only	13-86 (earlier side blocked; later side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	none	runner_limited; no_break_runner_boundary	no	defer	boundary/underdetermination note	representative examples	defer	Both sides currently yield no historical first break; this is a boundary / negative card rather than a chronology-constraint card.
SC059	59	OEBackMutation	OE Back Mutation	Germanic/docs/sound_changes/order_tests/chronology_cards/SC059-oe-back-mutation.md	yes	yes	Germanic/fsts/germanic.txt	define OEBackMutation [	Direct define found at line 2656 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/059-061-back-mutation-and-weak-tail-bridge.dossier.md	substantial	no	none	strong_local_or_reciprocal	49-76	SC048 OE Secondary Nasalization | historical_sound_change | order 48 | failures 4 | give; shear; steal; weave	SC078 OE Weak Tail Reduction | historical_sound_change | order 77 | failures 2 | steal; weave	SC048<SC059 [reciprocal]; SC059<SC078	none	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	-
SC060	60	OEWsPalatalUmlaut	OE Ws Palatal Umlaut	Germanic/docs/sound_changes/order_tests/chronology_cards/SC060-oe-ws-palatal-umlaut.md	yes	yes	Germanic/fsts/germanic.txt	define OEWsPalatalUmlaut [	Direct define found at line 2692 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/059-061-back-mutation-and-weak-tail-bridge.dossier.md	partial	no	none	mixed	56-86 (later side runner-bounded)	SC055 OE I Umlaut | historical_sound_change | order 55 | failures 2 | might; night	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	SC045<SC060	SC055<SC060 [contextual]	no_break_runner_boundary	no	group_with_related_change	grouped cluster discussion	direct quotations; human chronology framing	medium	Earlier side is one-sided across SC055; later search reaches SC087 with no real break.
SC061	61	OEWeakTailNasalLoss	OE Weak Tail Nasal Loss	Germanic/docs/sound_changes/order_tests/chronology_cards/SC061-oe-weak-tail-nasal-loss.md	yes	yes	Germanic/fsts/germanic.txt	define OEWeakTailNasalLoss [	Direct define found at line 2160 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/059-061-back-mutation-and-weak-tail-bridge.dossier.md	partial	no	none	contextual_or_one_sided	24-86 (later side runner-bounded)	SC023 NWGmc N Stem N Loss | historical_sound_change | order 23 | failures 1 | do	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	SC023<SC061 [contextual]	no_break_runner_boundary	no	group_with_related_change	grouped cluster discussion	direct quotations; human chronology framing	medium	Earlier side is one-sided across SC023; the failure row records loss of output for do and later search reaches SC087 with no real break.
SC063	63	OEHighVowelApocope	OE High Vowel Apocope	Germanic/docs/sound_changes/order_tests/chronology_cards/SC063-oe-high-vowel-apocope.md	yes	yes	Germanic/fsts/germanic.txt	define OEHighVowelApocope [	Direct define found at line 2874 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/063-oe-high-vowel-apocope.dossier.md; Germanic/docs/sound_changes/sound_change_literature_matrix.tsv	substantial	yes	docs/references/luick_historische_grammatik.txt; docs/references/campbell_old_english_grammar.txt; docs/references/hogg_vol1.txt; docs/references/ringe_taylor_linguistic_history_vol2.txt; docs/references/fulk_comparative_grammar_early_germanic.vision.txt	strong_local_or_reciprocal	56-71	SC055 OE I Umlaut | historical_sound_change | order 55 | failures 19 | belly; birth; breeches; bride; cow	SC072 OE Unstressed Long Vowel Shortening | historical_sound_change | order 72 | failures 1 | fright	SC054<SC063; SC055<SC063; SC063<SC072	none	none	no	ready_for_first_draft	standalone mini-chapter	none identified	high	pilot change entry exists: Germanic/docs/sound_changes/change_entries/063-oe-high-vowel-apocope.change.md; substantial literature dossier present; Later boundary points to SC072, but the relation is one-sided rather than reciprocal in current testing.
